sequence,move to front,opt,opt free,discrete doa,continuous doa
"4,1,1,3,4,3",19,16,18,18,18
"3,3,1,0,0,1",14,13,13,14,14
"3,0,4,3,1,4",21,18,18,18,19
"4,3,1,2,1,0",26,17,17,17,17
"2,4,3,1,0,2",28,18,18,18,18
"0,1,3,2,1,3",17,14,14,15,15
"3,2,0,4,1,0",24,16,16,16,16
"4,3,2,1,0,3",29,19,19,19,19
"3,3,4,0,1,4",20,18,18,18,19
"4,3,0,3,0,4",20,16,17,19,17
"0,0,0,3,0,4",14,13,13,13,13
"1,0,3,2,0,3",18,14,14,15,15
"0,0,0,3,1,1",11,10,10,10,10
"2,4,0,4,0,2",18,15,15,17,15
"1,1,2,0,0,2",12,11,11,12,12
"0,3,0,0,2,3",15,13,13,14,14
"0,0,1,2,2,3",12,12,12,12,12
"3,0,0,2,3,3",15,13,13,14,14
"0,0,0,1,0,2",10,9,9,9,9
"4,1,0,4,1,0",20,14,14,16,14
"4,3,2,1,1,0",26,17,17,17,17
"2,1,2,1,1,2",13,11,12,12,12
"2,1,2,1,0,0",14,12,12,13,13
"3,4,2,4,3,2",22,18,20,20,20
"0,2,1,1,1,2",11,10,11,11,11
"2,1,1,2,2,2",11,10,11,11,11
"0,0,0,0,4,1",12,11,11,11,11
"3,4,2,1,3,4",27,21,21,23,23
"0,0,1,1,1,0",8,8,8,8,8
"4,2,1,2,4,1",21,16,18,20,18
"0,0,2,3,3,2",12,12,12,12,12
"4,3,4,2,2,3",21,18,20,20,20
"4,0,0,1,4,1",16,13,13,15,13
"2,4,3,1,0,0",24,16,16,16,16
"1,0,4,1,4,1",16,13,13,14,14
"0,0,0,3,0,2",13,11,11,11,11
"0,0,0,1,0,0",8,7,7,7,7
"2,4,1,4,1,2",19,16,18,18,18
"4,1,2,4,1,2",21,16,17,19,17
"3,1,1,3,0,0",14,13,13,14,14
"0,0,0,1,1,2",9,9,9,9,9
"0,0,0,3,0,3",11,10,10,10,10
"0,1,3,0,2,3",17,14,14,15,15
"3,4,1,1,3,4",20,17,19,19,19
"3,4,1,4,3,1",21,17,19,20,19
"0,0,2,2,0,4",13,13,13,13,13
"3,4,2,1,4,3",26,21,21,22,23
"4,0,2,4,1,2",21,17,17,19,19
"3,2,3,1,2,1",19,15,17,17,17
"0,0,0,2,0,2",10,9,9,9,9
"0,0,0,0,4,4",10,10,10,10,10
"4,2,1,2,1,4",20,16,18,19,18
"2,3,0,3,0,2",17,14,14,16,14
"1,0,2,0,2,0",13,10,10,11,10
"3,2,4,1,0,2",27,18,18,18,18
"4,2,1,4,4,4",18,15,15,15,16
"3,3,1,0,1,0",15,13,13,14,14
"0,0,0,0,3,4",13,13,13,13,13
"0,0,2,2,1,1",10,10,10,10,10
"2,3,1,2,3,1",20,15,17,17,17
"0,0,0,2,0,1",11,9,9,9,9
"3,4,1,3,1,4",21,17,19,19,19
"0,0,0,0,2,4",12,12,12,12,12
"0,0,0,1,1,0",8,8,8,8,8
"0,0,3,2,1,0",18,12,12,12,12
"0,0,0,0,0,1",7,7,7,7,7
"0,0,2,2,2,1",10,10,10,10,10
"4,3,2,1,0,2",28,18,18,18,18
"0,0,1,3,4,4",14,14,14,14,14
"0,0,2,0,0,2",10,9,9,10,9
"3,2,4,0,1,0",24,16,16,16,16
"0,0,0,1,4,2",14,13,13,13,13
"0,0,0,0,3,2",12,11,11,11,11
"4,1,3,1,4,3",21,17,19,19,19
"3,4,2,3,2,4",22,18,20,20,20
"3,1,4,2,0,1",26,17,17,17,17
"0,3,0,2,1,0",18,12,12,12,12
"1,2,0,0,2,0",13,10,10,11,10
"3,0,0,0,0,3",11,10,10,11,10
"0,3,4,1,2,4",22,18,18,18,19
"0,0,0,3,2,4",16,15,15,15,15
"3,0,0,0,2,3",15,13,13,14,14
"0,0,0,2,2,4",12,12,12,12,12
"0,2,1,2,0,1",15,12,12,13,13
"3,4,1,4,1,3",20,17,19,19,19
"3,2,0,0,3,3",16,13,13,14,14
"0,3,0,3,0,0",12,10,10,11,10
"3,2,0,0,0,3",16,13,13,14,14
"4,2,3,0,1,0",25,16,16,16,16
"2,0,3,2,0,3",18,14,14,16,14
